,0,1,2,3,4
Itga5,1.1507239270711609e-05,-0.0002074439958239455,-7.913553401484491e-05,-6.283490391648347e-05,-0.00010550613244117055
Wdr77,2.1348272794625447e-05,-0.00025991500139727476,-8.38008989255709e-05,-5.859920817439592e-05,-4.170787312056452e-05
Adora3,-4.395266691694206e-05,-0.0004664391890932423,-0.00012856056556396966,-8.479949129610825e-05,-7.60293137712919e-05
Atp5pb,-0.0030971186752062835,0.0021212061297747912,0.00032985135949749285,0.0009846269971102895,0.00013365389086074004
Sox9,-1.9673033117833884e-05,-0.00043110088047476364,-0.00010964888312559089,-9.454825275400107e-05,-8.034520254544703e-05
Hnrnpd,-0.000284203838288661,8.962949017603951e-06,-5.339594781086543e-05,-0.00019232511155710516,-0.00015321419327929894
Dynlt1c,-8.130512505115694e-05,-0.0004558334627525272,-0.00012573478700285455,-7.43240997166261e-05,-7.550242013184837e-05
C1d,-0.0009561544460919945,-0.00017236034825128389,2.9748348664345453e-05,0.00011629197790022917,-9.594258277345906e-05
Gm2a,0.0025188443530254913,0.0008956337462644603,-0.00013282037476383945,-0.00023372856596569802,-6.624517908304368e-05
Krit1,0.000369264151365261,-0.00032115172310278483,-6.725499834692999e-05,-2.2940367219093675e-05,-2.6293332275348733e-05
Clcn4,0.001155779716965503,0.0001262226658920303,-3.842784799687177e-05,-2.275358011937414e-05,1.946952803935585e-05
Grm6,-4.391637827886991e-05,-0.00046664368906793014,-0.0001286472965489637,-8.487864706304649e-05,-7.604068859384573e-05
Sema4f,-4.716123864662181e-05,-0.0004654941753776101,-0.00012861827657824844,-8.507818213378624e-05,-7.610860684931776e-05
Hk2,-1.568017834325203e-05,-0.0003922331156772716,-0.00015109234839540706,-0.00010329379163273713,-8.769772704398892e-05
Myo18a,2.7838852412418933e-05,0.0006976331359841212,-0.0002558564536290313,-0.00022049034731573712,0.0001541475450650274
Haao,-0.0015202347025632945,0.003811340479345003,0.0008179894722406769,-7.56995701533816e-05,-0.000558252188323503
Cd52,-4.014119433870663e-06,-0.00040041630163894246,-7.149199771717739e-05,-0.0001003409843925034,-8.932382667555735e-05
Abhd15,0.0005707857884814029,-0.00011298382060536365,-0.00024385758596910304,-5.2331474332451203e-05,4.158130428185098e-05
Hoxb6,-6.115357711739557e-05,-0.00045495670989846533,-0.00013357380452910604,-8.941543940787842e-05,-7.901074425627083e-05
Loxl3,-8.394631425741515e-06,-0.00044272464643848,-0.00012793470092151924,-8.438246644738094e-05,-7.205972603858495e-05
Kat2b,0.0005532694775472581,0.0005893364356643686,-0.0003325697733339738,0.00013614762238665568,5.3290831969482544e-05
Rab5b,0.000332455943313671,0.0007678597906158264,-0.0003819681110803575,-7.876008156251087e-05,-0.00011255346010620316
Dnmt3l,-4.708890593676487e-05,-0.0004646018300416514,-0.0001297472194354484,-8.57051900793944e-05,-7.655303097946358e-05
Aire,-4.414772246820141e-05,-0.0004666335144452709,-0.0001287546224152606,-8.48577951393664e-05,-7.608953420634005e-05
Icosl,-3.411529480086865e-05,-0.0004476368044638747,-0.0001282813924690919,-8.701248894808143e-05,-7.813005812891879e-05
Spg7,-0.00021241317985607803,-8.487300687861284e-05,-0.00016306985743345454,-0.00012636684711186496,-5.844749064453779e-05
Sult5a1,0.00017505385671425994,-0.00044566545530668676,-9.265538551620431e-05,-8.4268383112307e-05,-6.683622426904593e-05
Rpl13,0.001254224174657042,0.0004415665541418221,0.0007377301541189181,0.00041445842741048036,0.0001512556994552264
Chmp1a,5.843600278598205e-05,5.059133747729664e-05,-0.0001624274442327384,-0.0001325352181260392,-7.787896688241738e-05
Rpa1,5.641256332344659e-05,-0.0001729315414649738,-0.00018564414600706064,-1.4058579414127151e-05,-3.4203265274806574e-05
Serpinf1,-0.0021900636424227334,0.005535339186357919,0.00021022988263056768,-0.0009411285901971949,-0.00028478476852292103
Tubgcp3,0.00018319878857540002,-0.000368960981117001,2.2676586922067744e-05,-2.945216344096445e-05,-8.618363407295358e-05
Polr3d,-2.2677530652499772e-05,-0.0003948765329520465,-0.00012275659107322323,-9.602940535119622e-05,-7.601629710723233e-05
Tcf7,-9.272769536253141e-05,-0.0003863335395053314,-0.00013711543035807377,-0.00010805606415219793,-8.601615143605983e-05
Ddx3x,0.0025176326562619607,0.0022565973351691246,-0.0010032510166456436,5.7211124004822746e-05,0.00024170117570895472
Il12rb1,-2.716410924555203e-05,-0.00045977087610963945,-0.00012932642197212223,-8.555485084524097e-05,-7.636107161170967e-05
Slc5a5,-4.426796006417197e-05,-0.00046672814533724237,-0.00012857322200108284,-8.498187692918495e-05,-7.588959467781488e-05
Kcnn3,-4.802794793875443e-05,-0.0004633207044641102,-0.0001303450621162687,-8.571280358186667e-05,-7.646742356055631e-05
Usp32,0.00043303887268639684,-0.00010216091949198364,-0.00021139056619787674,1.8658651117526876e-05,-2.315071691621106e-05
Car4,-4.5505495981893955e-05,-0.00046504288682747196,-0.00012946175323940202,-8.551040505205268e-05,-7.646031992139982e-05
Txnrd3,-6.0146725466705606e-05,-0.0003759965992466445,-0.00014657580505431816,-8.514047827124608e-05,-7.597472915983428e-05
Fasl,-3.179382931335647e-05,-0.00046527061840781096,-0.00012762877939696065,-8.400438520004519e-05,-7.568895742545326e-05
Zfp512b,-0.000166132313094912,-0.00020667173294316576,-8.955627651215e-05,-8.177290370131893e-05,-8.149103748292265e-05
Dnajc5,0.00033182170625894796,0.00015787546604415862,-0.00017671719588305962,-0.00010977109288774237,5.403184619932916e-06
Tpd52l2,-0.000616805411931869,-0.00016739369617054138,-0.00011130388714385146,-1.892475510763883e-05,-5.3323280956966714e-05
Fmr1,8.282301513224763e-05,-0.00023090853031880308,-0.00011864677871492627,-6.887200042307946e-05,-5.156174973531378e-05
Bcl11a,-4.3427521214947216e-05,-0.00046007237336533557,-0.00012761899578316965,-8.293909760668608e-05,-7.703528810167835e-05
Il4,-4.391813042881673e-05,-0.00046683477190601,-0.0001281758332146767,-8.469442325087303e-05,-7.606134569209798e-05
Pxmp4,-0.000696384370161537,0.0003345471983620848,2.934427824611365e-05,-0.00012659001149530307,-8.430116935800417e-05
Dlg3,6.770333267024244e-05,-0.00027712026527157977,-0.00013109287201467984,-7.012599295112787e-05,-9.894902589269667e-05
Gnb1l,-7.549728207473122e-05,-0.00045252308027132526,-0.0001273443914255919,-8.472784415808411e-05,-7.724863561199816e-05
Dbh,-0.000156560622400452,-0.0003874731837265213,-0.00016596252641225045,-0.00011597922416442165,-9.619892246099125e-05
Mmp11,-5.793538973307103e-05,-0.0004540414310292979,-0.0001268519735339727,-8.774032837247328e-05,-7.808484321172541e-05
Smarcb1,-3.0831123594928796e-05,-0.00029253497637291714,-7.509069759739176e-05,-8.681938458711179e-05,-8.318197005181821e-05
Vpreb3,-4.23362036610813e-05,-0.0004615862425891372,-0.00012967538994167573,-8.651243998309046e-05,-7.620819145504828e-05
Hip1r,4.537850194043574e-05,-0.00020753399401275254,-7.240389229521538e-05,-0.00010326946079862471,-3.0432161909113994e-05
Nsun5,-3.391439653879043e-05,-0.0004000053215956747,-9.654380133518025e-05,-8.679004492101331e-05,-7.779161162470253e-05
Top1mt,-0.00017083771207475302,-0.00027615751351578997,-0.00010755275759493635,-8.841034099234264e-05,-9.46505989448093e-05
Hoxa4,-4.845836466805281e-05,-0.00046201572960866664,-0.00012882068248644537,-8.672550197061364e-05,-7.60388008093741e-05
Mmp14,-0.00017372132442686805,3.5860188291807566e-05,-0.0002187665081532858,-0.00015864566369036602,-0.00011624977660331683
Slc7a7,-0.000105460955023295,-0.00043421175422688277,-0.0001323620750222182,-8.661096338422008e-05,-7.122634812249459e-05
Oxa1l,-0.00046251998782046285,-3.1287534047661414e-05,-0.00012743227769927075,-0.00017051301124099483,-0.00012046114795004312
Heatr6,6.3433210808257e-05,-0.0003249556018024352,-8.353554977100206e-05,-8.592025230054301e-05,-7.272758972436333e-05
Ccl3,-4.4163270738603815e-05,-0.00046510590296965055,-0.00012791409918494243,-8.547911778851477e-05,-7.639875610520972e-05
Wfdc18,-4.5137369856515455e-05,-0.00046638697412547874,-0.00012826216463182122,-8.48607637111388e-05,-7.599838361633706e-05
Icam4,-4.614173780433892e-05,-0.00046571389058739303,-0.00012743423817389396,-8.469578228900917e-05,-7.533876889450929e-05
Ilf2,-3.586491402837416e-05,-0.0003212427768347972,-8.164988496987215e-05,-4.8003032674723964e-05,-8.425911756424182e-05
Chtop,-0.00014386039374314995,3.9727761499298807e-05,-0.00011027390367712833,-4.905545956215986e-05,-9.359626205569578e-05
Snapin,9.746644469654132e-06,-0.00033330423628273424,-9.671440030607776e-05,-9.454617384332892e-05,-9.485923304115721e-05
S100a4,-5.37721498262403e-05,-0.00046013485923146474,-0.00011878143031675964,-8.116334004636346e-05,-7.707271022632691e-05
S100a3,-4.397044666685699e-05,-0.00046681441496003445,-0.000128543460537203,-8.484221583932968e-05,-7.601569509640815e-05
S100a6,-6.879618044199993e-05,-0.0004499796291505446,-0.00012221113558220405,-8.509461227460014e-05,-7.712046393956833e-05
Scn4a,-6.996962065180044e-05,-0.00043845951658063524,-0.00013884635921677674,-9.516018119690536e-05,-8.36260205223814e-05
Icam2,-3.326133358147918e-05,-0.00043144894038920495,-0.00013214832579304847,-8.708382284649368e-05,-7.524624317692012e-05
Mapk7,-5.5567240574311826e-05,-0.0004359821352780464,-0.000126439819186099,-9.030786806932446e-05,-7.909267430408056e-05
Epn2,-7.411144022783175e-05,-0.0003635098572658645,-0.00013094928975291916,-6.880497846721963e-05,-7.505138489769272e-05
B9d1,-5.9547537254663986e-05,-0.0004618034272650778,-0.0001280436655336656,-8.23893773073176e-05,-7.694456996190803e-05
Sec24b,-9.027237286029036e-05,-0.0002066732439752707,-0.00015421450087220806,-0.00010161171905097428,-8.35317405953425e-05
N4bp3,-0.000110747920932392,-0.0004263970803919678,-0.00011438641471433328,-7.903118730549091e-05,-8.490186685485947e-05
Rmnd5b,-0.00018382743289493205,-0.0003349214094759697,-0.00012483268823805857,-8.051194196257493e-05,-9.210257995380259e-05
Nhp2,-0.000205493216272112,-0.0003590391862283,-8.046816724626256e-05,-8.738848978921031e-05,-6.636102479107965e-05
Vps9d1,-9.365929718424976e-05,-0.00029379263929187575,-1.848631157353773e-05,-0.00010532995294738246,-7.856645296721267e-05
Zfp276,0.0006238721612197151,-0.0002161542106841617,0.00011675716746778585,-0.00010748887763049745,-4.718528837806e-05
C1ql4,-4.431504697805212e-05,-0.0004663247842834545,-0.0001286835334930889,-8.479397922404221e-05,-7.614366692355774e-05
Mfsd10,-1.8193943753691102e-05,-0.00043373190554497876,-0.00010704235051567375,-9.337112822885352e-05,-8.016181001527336e-05
Luzp1,0.0004620254037403969,-0.0002751733925850435,-0.0001576668641734808,-5.525932499273352e-05,-2.9477997449534547e-05
Slc13a2,-1.73580873550112e-05,-0.00044587083732680914,-0.00011155344928027473,-8.900263325036898e-05,-7.973683960434934e-05
Kctd10,-0.00016022923924353602,-0.0002777176036974808,-0.00015574491085812732,-7.551298933605502e-05,-5.3044142213150573e-05
Poldip2,-0.0011836176122558568,0.00046514158916585057,-0.0002261574504695242,-9.391295269656022e-05,-4.191444922274119e-05
Sebox,-3.913989688115495e-05,-0.0004644762262111413,-0.00012472061357316757,-8.523330991884996e-05,-7.559075939747546e-05
Ift20,-0.00045179259812367094,-0.00026514177177570914,0.00016845747917676668,-6.166953130726698e-06,-6.237810643910299e-05
Col6a1,-8.405637890712932e-05,-0.0003317705437120475,-0.00015685633010881922,-0.00010243785262815469,-6.196467749279483e-05
Pcbp3,-6.61160817434548e-05,-0.0004472428418507081,-0.00013328702329154044,-9.144033741520781e-05,-7.796016051601868e-05
Lgals9,-0.0022976123352038942,0.00387121753512441,-0.00039121466257682226,-0.00022253879056567826,-0.000758688759419141
Araf,1.7584915922116156e-05,8.514401819186126e-05,1.0018840826017649e-05,-0.0001011327350139268,-9.704876807402208e-05
Cfp,5.279149683559513e-05,-0.00024836060950127686,-0.00010440675618659497,-0.00012431837652261647,-5.949076199505436e-05
