gene,0,1,2,3,4,5,6,7,8,9
Usp32,5.8601485812116084e-05,-5.390044127140535e-05,-7.115393405176693e-06,-0.0013828107012524688,-0.000218703099181538,-4.3863507043745976e-05,-0.0011990100872173873,0.0005455310389553721,-0.00054649600417084,0.0005797726715862357
Txnrd3,-0.00010266843250251464,-7.227074769153148e-05,9.624755503432857e-05,-0.0003453980866811332,-0.00017534079482879494,-0.0004022807888528714,-0.0011710709179105795,-0.0005796333744903349,-0.0006675483221624233,-0.0008586631164179397
Zfp512b,-0.00036347432632650507,-0.000489100089556914,6.193020902790157e-05,-0.0013547871427868083,-0.00023435359406391207,-0.00012589983619561073,-0.000363936292605155,-0.00013034648558495364,-0.00024571568765787896,-0.0006410712591014284
Dnajc5,-0.00032195693580288986,-0.000799921474051727,0.0002544110285673085,0.0005153897346515879,-9.351861940054088e-05,0.0005783449801126591,-0.0006798516176752851,0.0008301252190425218,0.00018957733737443779,-0.000399245109593966
Tpd52l2,4.879673967274498e-06,-6.970018570898675e-05,-7.344404413547774e-05,8.05820503967384e-05,-0.00022035607700850803,-0.00042244324729932343,-0.00020413594200117504,-0.0020407003742050223,-0.0006148991201508751,-0.0003328736135181047
Fmr1,-0.00012319228644743006,-5.703936140080006e-05,-0.00015691228972934578,4.2321336015233606e-05,-6.941973866539667e-05,-0.0005826972942953277,-0.0009221430789662341,1.8220190447856695e-05,-0.0007725502951120132,-0.0004689779268034942
Pxmp4,-9.440813283313034e-05,1.4232770315029036e-05,0.0004165852969844495,-0.0006965373458465936,-0.00013151875674096997,-0.0022482866685473676,0.0010817295387233839,-0.00028027763237841266,0.00034294089237647666,-0.00029372718116968437
Dlg3,-9.1341124117634e-05,0.00011072359096083486,-9.945093356353384e-05,-0.001025667407167899,-0.00012528004550257498,-1.8975442940248026e-06,-0.001070538560324813,-0.0003418481361578706,-0.000531924731117118,-0.0008003594989889733
Smarcb1,-0.0002447738559701459,-0.000286713929196234,0.00019152390044652442,-0.0007684509988172847,-0.000112692844254367,-0.00010208779882051158,-0.0005075708331758166,-0.0002681000603391466,-0.0007355236122288301,-0.0010053039961615924
Hip1r,-1.5629930675328987e-05,-7.553758569583912e-05,0.00036217290257172327,0.0006500033448343655,-0.00027454193385145607,-0.0006514181481381868,-0.0002831111843953171,-1.9284582259145877e-05,-0.0004466995559981532,-0.000685215330743153
Nsun5,-0.00014448489361849198,-0.00025537281187518505,0.00013207236286907176,-0.00014669436988999884,-0.00018131562992872792,-0.00045640028600304593,-0.0006454168394242936,-0.0003307441904039795,-0.0009010151110998214,-0.0009576103418168526
Top1mt,-0.00015039847281295103,-0.00025703772444903597,-3.137203413983487e-05,-0.001055877563771145,-0.00016371314395606501,-0.00021971635962704503,-0.0006880379949664537,-0.0006709340612595132,-0.0004609080743156298,-0.0008965929701770191
Mmp14,-0.00028719537935506593,-0.00041341443329080414,-0.00020591771385415194,-0.000880258342711191,0.00017083633589787996,0.0004472030203305481,-0.0017652908055112951,-0.0007724457821210143,0.0003408186512109844,-0.0014126785232022679
Slc7a7,-0.0001319605920399549,-7.463953661037628e-05,0.00013393072935711435,-8.826887535885729e-05,-0.00015566443523892795,-0.0005354404113314366,-0.0011124262305118782,-0.0006601254307480454,-0.0009140761082192116,-0.0009227099519541851
Oxa1l,-0.00023763333607225407,-0.00021880361996083793,-0.00011032846901546396,-0.0006287296746708543,1.305179777049458e-06,-0.0003784035419360958,-0.0010604953470746757,-0.001135250426442731,0.000482238986801783,-0.0014852762677493078
Heatr6,-0.00020662699661490105,-8.864672574690407e-05,9.411870964282044e-05,-0.00012255399023428153,-0.00018398322363833507,-0.000290413789003101,-0.0005451200160991306,3.8670102330239464e-05,-0.0007808634187065681,-0.0008355648587406697
Ilf2,-0.00011024542949195697,-0.00019767984349587493,0.00016188351667841493,-0.0006497214669359303,-0.00012549054186838802,-0.0002118752400717582,-0.0004072026146075494,-0.00048004221738595307,-0.00106175634673485,-0.0007674077933978622
Chtop,-0.000281331062327673,-0.00039786384673900897,-0.00015421934938898707,-0.0012044621804332039,1.450734264112998e-07,0.0001679191957202876,-0.00027385099688882064,-0.00024344042692202837,-0.00035405413057087103,-0.0004811744875683075
Snapin,-0.000143408836688777,-3.1888502216735616e-05,4.2317262392814184e-05,-0.0006099281272922176,-0.00012891744330203707,-0.00045159976909455487,-0.0007916776065057421,-0.0001586122843306336,-0.0007324323951806648,-0.0009560227525491205
S100a4,-0.00015044718025617002,-5.646627379346983e-05,0.00010978679365788852,-0.00018204073645398572,-0.000165747741330864,-0.00046697522603892646,-0.0010263724261688268,-0.0005339957235040622,-0.0009888329640164166,-0.0009360795433759004
S100a6,-9.29431770809377e-05,-2.6952934977150893e-05,0.00016378889835373425,-0.00018427081401272652,-0.000155681869160084,-0.0004782664076959295,-0.0010453263394127022,-0.000669524175293295,-0.00097845301045059,-0.0009915283129146397
Icam2,-9.129179024453034e-05,-6.992276567512702e-05,0.00011945949484027227,-0.0001855972585087008,-0.000135688325303876,-0.0005734817420561611,-0.001133585133981437,-0.0005212519291010967,-0.0009419825406795734,-0.0009349816043073526
Mapk7,-0.000147349349084586,-5.197710762589686e-05,0.00011154632714562193,-0.0002138423250077718,-0.00015219608475890208,-0.00046909228280415114,-0.001115978017831506,-0.0005196188832565805,-0.0008809270723740599,-0.000978253763906766
Epn2,-0.00015561145761133606,-0.00016710933152358704,0.0001879641654131499,-0.00045655702148319707,-0.00013669039777700702,-0.0002942901584952785,-0.0010092358790349497,-0.0006155442480513464,-0.0008337217886555503,-0.0008335556723181641
Sec24b,-0.00020632589544328206,-0.00033539232009841403,-4.873377727252414e-05,-0.0005744236760918192,-9.90338347203637e-05,-0.0002811566860302316,-0.001126251222834847,-0.000347924950863826,-0.00024117683705407236,-0.0008622804352554173
N4bp3,-0.00018194218386724303,-6.80279625301717e-05,3.7048707347067944e-05,-0.0003557096957738566,-0.000150500290062681,-0.00030851394360289385,-0.0009722343638623993,-0.0006710857222165178,-0.0009047315538429915,-0.0009611382178669474
Rmnd5b,-0.00023882402528456202,-0.00016887276568979196,-6.208248176778549e-05,-0.0007215218733695911,-0.00012292197686766996,0.000138142882270368,-0.0009736545762992578,-0.0009347955211896313,-0.0006321801212901649,-0.001006067945088668
Nhp2,-0.00010680343422172515,6.127664281809667e-05,0.00013765560943432552,-9.892398248295164e-05,-0.000157351760957988,-0.00027622003078079906,-0.0005967955384766685,-0.0010282799213000486,-0.0008751716487297319,-0.0010076349279322188
Vps9d1,-0.0002901536811016109,-0.00043536583896684614,-9.895270077573299e-05,0.0003226313227797435,-0.00018115320547185197,-0.0006598441838991479,0.00018164596085812692,0.00012200089179188795,-0.0007848400708237285,-0.000967279270840651
Zfp276,-6.514875140827133e-05,-0.000245739485933291,-0.00046765267104620394,0.0016084702856410157,-0.0004331622650421942,-0.0013546164168568677,0.0017773495945807216,0.0026094369844151676,-0.0009115036221093984,-0.0003489971659301414
Mfsd10,-0.00013492535006121397,-0.00012120155858882806,0.00013940576710491233,-0.00019565697541063757,-0.00016234111410724303,-0.0005094225921684855,-0.0008949838295967674,-0.0003715375108348666,-0.0009231631914755717,-0.0010144061526348848
Luzp1,3.65444869162985e-05,-0.000154276119425663,0.00016900764243041943,-9.882939306654193e-05,-0.00020863483638003998,-0.00018560738227955446,-0.0010035203384973319,0.0005971225949836702,-0.0007672001349300652,-0.0003240045194085733
Slc13a2,-0.000192098156679459,1.015707750595068e-05,0.00012695893438118079,-0.000263206409129405,-0.000123248683700582,-0.0002688981417775376,-0.0010542216873089612,-0.0004926944612814139,-0.00100358082025771,-0.00105218233459273
Kctd10,0.00013488377926172698,-8.547805967353945e-05,0.0001767602190039629,-0.0005386847776754234,-0.00010440031406950603,-0.0003614752769265315,-0.0011204108280871063,-0.0012692523119928088,-0.0007018374525778767,-0.0007705823263892378
Poldip2,0.00016472569413733697,-0.00027877026058912793,0.00018668016154674448,0.0005575227727270928,-0.00012963848052383804,0.000134345365507494,-0.0006917680717449814,-0.003808877979793653,0.0015350623485966782,-0.000712057162303436
Ift20,-9.825599679122747e-05,0.000291832473303095,0.00015046147457365255,0.0005582379924411475,-7.770170997799018e-05,-0.0007700146189341228,0.0018963599680860866,-0.0011499948221471562,-0.002182514061708904,-0.0006619236386509063
